Education Level,Years of Experience,Location,Industry,Job Title,Job Type,Salary
Master's Degree,28,Suburban,Healthcare,UX Designer,Remote,79010.97
Master's Degree,10,Suburban,Education,System Administrator,Onsite,65708.29
Bachelor's Degree,1,Rural,Finance,Data Analyst,Remote,46811.89
High School,24,Urban,Healthcare,HR Manager,Onsite,75693.57
Bachelor's Degree,27,Suburban,Finance,Medical Assistant,Onsite,75377.72
High School,6,Urban,Tech,Web Developer,Hybrid,42777.76
PhD,24,Rural,Finance,Accountant,Remote,87895.96
PhD,7,Suburban,Healthcare,Software Engineer,Hybrid,49994.51
PhD,3,Rural,Finance,Project Manager,Hybrid,42859.07
Master's Degree,17,Rural,Education,Data Analyst,Hybrid,66484.31
Bachelor's Degree,35,Rural,Healthcare,UX Designer,Hybrid,82454.57
Bachelor's Degree,23,Rural,Tech,Others,Remote,64583.53
High School,28,Suburban,Tech,Software Engineer,Remote,77910.61
Master's Degree,34,Urban,Healthcare,System Administrator,Hybrid,97438.74
Master's Degree,40,Suburban,Tech,UX Designer,Hybrid,98771.26
Bachelor's Degree,23,Urban,Healthcare,Others,Hybrid,67651.66
Master's Degree,34,Urban,Healthcare,System Administrator,Onsite,97864.82
Bachelor's Degree,13,Suburban,Healthcare,Financial Analyst,Onsite,58477.98
Master's Degree,25,Rural,Education,Medical Assistant,Onsite,77200.91
High School,31,Rural,Tech,Web Developer,Onsite,81305.87
High School,14,Suburban,Tech,Professor,Remote,52939.19
Bachelor's Degree,27,Rural,Finance,Financial Analyst,Remote,76365.66
Bachelor's Degree,27,Rural,Finance,HR Manager,Hybrid,73861.87
Bachelor's Degree,32,Urban,Tech,HR Manager,Hybrid,80692.01
High School,12,Urban,Healthcare,Web Developer,Hybrid,36724.12
High School,32,Suburban,Finance,Others,Onsite,79727.59
Master's Degree,31,Urban,Education,Software Engineer,Hybrid,88407.25
High School,36,Urban,Education,Software Engineer,Onsite,77632.48
High School,1,Rural,Education,Project Manager,Onsite,33888.77
Master's Degree,1,Urban,Education,Accountant,Hybrid,42204.86
PhD,3,Suburban,Healthcare,UX Designer,Onsite,53139.17
High School,33,Rural,Finance,HR Manager,Onsite,76404.65
PhD,15,Urban,Tech,Others,Onsite,78033.02
Master's Degree,25,Suburban,Healthcare,Medical Assistant,Onsite,81867.95
PhD,40,Urban,Education,Web Developer,Hybrid,109409.9
High School,24,Rural,Healthcare,Accountant,Onsite,70632.28
Master's Degree,15,Rural,Education,Financial Analyst,Remote,63877.55
PhD,4,Urban,Education,HR Manager,Onsite,51970.67
High School,40,Suburban,Healthcare,Medical Assistant,Hybrid,93088.2
Master's Degree,7,Rural,Education,Professor,Hybrid,56585.35
Master's Degree,24,Suburban,Tech,Data Analyst,Hybrid,85328.87
PhD,40,Urban,Education,Software Engineer,Hybrid,109369.16
High School,19,Suburban,Healthcare,Software Engineer,Remote,64671.2
Bachelor's Degree,21,Rural,Finance,Project Manager,Hybrid,81805.48
High School,7,Suburban,Healthcare,Data Analyst,Remote,57172.11
PhD,32,Urban,Education,Medical Assistant,Onsite,95468.83
PhD,16,Rural,Tech,System Administrator,Hybrid,68379.34
High School,30,Suburban,Education,Software Engineer,Onsite,78701.7
High School,20,Suburban,Tech,Medical Assistant,Hybrid,63550.55
Bachelor's Degree,2,Rural,Education,Data Analyst,Onsite,38462.39
Bachelor's Degree,22,Rural,Healthcare,HR Manager,Hybrid,69788.94
High School,8,Suburban,Finance,Web Developer,Remote,47803.92
Bachelor's Degree,25,Suburban,Finance,Financial Analyst,Remote,69583.67
PhD,15,Rural,Education,Medical Assistant,Onsite,69974.98
Master's Degree,27,Rural,Finance,Web Developer,Onsite,80301.82
Master's Degree,21,Rural,Finance,Project Manager,Remote,71826.69
PhD,5,Suburban,Finance,HR Manager,Remote,63301.9
PhD,4,Suburban,Education,Project Manager,Remote,54642.76
PhD,29,Suburban,Healthcare,Web Developer,Remote,90964.03
Master's Degree,27,Rural,Healthcare,Accountant,Remote,81068.91
Bachelor's Degree,22,Suburban,Tech,Others,Remote,63255.86
Bachelor's Degree,24,Urban,Tech,Software Engineer,Remote,74284.35
Master's Degree,4,Rural,Tech,Web Developer,Onsite,42346.29
High School,21,Urban,Tech,Others,Remote,60100.4
Master's Degree,29,Rural,Finance,Professor,Remote,81865.35
PhD,20,Suburban,Education,Software Engineer,Hybrid,74702.37
Bachelor's Degree,36,Suburban,Finance,Accountant,Hybrid,86799.78
Master's Degree,9,Rural,Healthcare,Accountant,Remote,57153.7
PhD,4,Urban,Education,UX Designer,Onsite,58862.18
PhD,34,Urban,Tech,Medical Assistant,Onsite,100657.0
High School,11,Suburban,Tech,Software Engineer,Hybrid,43155.13
PhD,30,Rural,Finance,Medical Assistant,Hybrid,85659.58
Master's Degree,22,Urban,Finance,UX Designer,Remote,75053.18
PhD,10,Urban,Education,Professor,Remote,69248.01
High School,35,Rural,Tech,Financial Analyst,Onsite,82395.49
Bachelor's Degree,38,Suburban,Finance,System Administrator,Remote,95586.64
Master's Degree,12,Suburban,Tech,Medical Assistant,Remote,64164.26
PhD,24,Rural,Tech,HR Manager,Onsite,69729.21
High School,35,Urban,Tech,Medical Assistant,Remote,89120.83
PhD,18,Rural,Healthcare,System Administrator,Remote,74349.28
Master's Degree,11,Urban,Education,HR Manager,Remote,65353.39
High School,38,Urban,Tech,Accountant,Hybrid,92335.28
Master's Degree,13,Suburban,Finance,System Administrator,Onsite,57954.54
Bachelor's Degree,11,Urban,Finance,Accountant,Remote,60519.07
High School,37,Suburban,Finance,UX Designer,Hybrid,89931.01
Bachelor's Degree,4,Urban,Tech,Project Manager,Onsite,41831.48
PhD,0,Rural,Education,Software Engineer,Onsite,45931.06
PhD,5,Suburban,Healthcare,Others,Hybrid,56630.95
Master's Degree,26,Rural,Finance,Medical Assistant,Onsite,71067.68
Bachelor's Degree,27,Rural,Finance,Professor,Remote,76389.11
Master's Degree,40,Suburban,Tech,Medical Assistant,Remote,100301.27
PhD,24,Urban,Finance,System Administrator,Hybrid,75900.19
Bachelor's Degree,31,Urban,Tech,System Administrator,Hybrid,87717.87
High School,17,Suburban,Tech,Software Engineer,Hybrid,50168.39
Master's Degree,30,Urban,Tech,Project Manager,Hybrid,94183.77
Master's Degree,11,Rural,Education,UX Designer,Hybrid,52991.5
PhD,23,Urban,Education,Accountant,Hybrid,74737.75
PhD,27,Urban,Tech,Professor,Onsite,84707.9
Bachelor's Degree,16,Urban,Tech,System Administrator,Remote,59507.93
Bachelor's Degree,34,Urban,Finance,Data Analyst,Onsite,90459.6
PhD,4,Suburban,Tech,Data Analyst,Hybrid,56897.2
PhD,10,Urban,Finance,Financial Analyst,Hybrid,59654.12
Master's Degree,26,Urban,Tech,Software Engineer,Hybrid,82712.28
High School,37,Suburban,Tech,Web Developer,Remote,98057.65
High School,36,Rural,Finance,Medical Assistant,Remote,83301.91
High School,12,Rural,Tech,Software Engineer,Hybrid,44753.76
PhD,30,Suburban,Finance,Accountant,Hybrid,96377.32
Bachelor's Degree,11,Urban,Finance,Others,Remote,56042.17
Bachelor's Degree,29,Suburban,Tech,Software Engineer,Onsite,85945.23
Master's Degree,38,Rural,Education,Others,Hybrid,101389.13
Bachelor's Degree,33,Rural,Finance,HR Manager,Onsite,83152.97
Bachelor's Degree,32,Suburban,Education,Web Developer,Hybrid,86587.71
Master's Degree,16,Urban,Tech,Professor,Hybrid,65926.41
PhD,19,Urban,Finance,Project Manager,Remote,82482.03
Bachelor's Degree,12,Rural,Healthcare,HR Manager,Onsite,54832.99
PhD,3,Urban,Healthcare,Medical Assistant,Onsite,46800.6
High School,31,Rural,Tech,Accountant,Onsite,72422.5
High School,5,Urban,Tech,Financial Analyst,Hybrid,36704.87
Bachelor's Degree,33,Urban,Finance,Accountant,Remote,86373.81
Master's Degree,21,Suburban,Education,HR Manager,Onsite,70131.95
